CompNameCommon,Address,PostalCode,Province,City,Contact,Email,PhoneMain,CompWCBNumber,PermanentlyClosedFlag,CompNameAlias,CompNameLegal,HasActiveHCP,AddressText
Burns Foods Ltd,775 Plinquet Road,R2J 0G3,MB,Winnipeg,,,,0776203,,,,FALSE,775 Plinquet Road
Burns Maendel Consulting Engineering Ltd.,,,MB,,,,,1543677,,,,FALSE,
Burns Maendel Consulting Engineering Ltd.,,,MB,,,,,1543677,,,,FALSE,
Burnside & Company,509 Main St E,R0L 1Z0,MB,Swan Lake,Gary G. Burnside,ggb@burnsidelaw.com,204-734-3485 ext 223,,,,,FALSE,509 Main St E
Burntwood Custom Builders,176 Station Road,R8N 1N8,MB,Thompson,Collin Timothy Rushton,bcbl@mts.net,204-677-4020,1074616,,,Collin Timothy Rushton,FALSE,176 Station Road
Burron Contracting Ltd,911 Lagimodiere Blvd,R2J 0V1,MB,Winnipeg,,,,1011550,,,,FALSE,911 Lagimodiere Blvd
Burron Lumber,911 Lagimodiere Blvd,R2J 0V1,MB,Winnipeg,Keith Lynch,,235-0700,1019140,,,Burron Furniture Warehouse Ltd,FALSE,911 Lagimodiere Blvd
Burtek Systems Inc,199 Omands Creek Suite 6,R2V 1V9,MB,Winnipeg,,,,1135888,,,,FALSE,199 Omands Creek Suite 6
Burton Construction Company Ltd,377 Park Ave E,R7A 6K4,MB,Brandon,,,728-1033,0279497,,,,FALSE,377 Park Ave E
Burwalde Agro Holdings Incorporated,,R6W 4A9,MB,Winkler,Charlotte Unrau,,1-204-325-5722,,,,,FALSE,
Burwin Institute of Diagnostic Medical Ultrasound,,,MB,,,,,,,,,FALSE,
Buscemi Masonry & Plastering Ltd,454 Woodlands Cres,R3K 1A9,MB,Winnipeg,Guy Buscemi; Peter Buscemi,,832-3774; Peter's cell 981-4534,0629261,,,,FALSE,454 Woodlands Cres
Busch Electric,,,,,,,,,,,,FALSE,
Busch Masonry Ltd,Box 331,R0E 0C0,MB,Beausejour,,,,1106301,,,,FALSE,Box 331
Bushel Plus,,,MB,,,,,,,,,FALSE,
Busiisi Stucco,570 Centennial St Suite 300,R6W 1J4,MB,Winkler,Harv Thiessen,,325-4336,,,,,FALSE,570 Centennial St Suite 300
Business Solutions Maid & Janitorial Services,958 St. Mary's Road,R2M 3R8,MB,Winnipeg,Luis,,(204) 255-7514,,,,,FALSE,958 St. Mary's Road
Busy B Drive In,,,MB,,,,,,,,,FALSE,
Busy Beaver,,,MB,,,,,,,,,FALSE,
Busy Bee,375 Nairn Ave,R2L 0W8,MB,Winnipeg,,ccarvalho@bee-clean.com,204-668-4420,0995787,,,Canpor Enterprises Ltd or Correia Enterprises Ltd,FALSE,375 Nairn Ave
Busy Bee Apiary Ltd.,,,MB,,,,,,,,,FALSE,
But is it Art Inc.,1609 Regent Ave W Suite 5,R2C 3B3,MB,Winnipeg,Dennis Cruz,butisitartmanitoba@yahoo.ca,204-654-1362,,,,But is it Art Inc.,FALSE,1609 Regent Ave W Suite 5
Butch's Dirt Works,,,MB,,,,,,,,7094401 MB ltd,FALSE,
Butiminex Consulting,29 Terracon Place,R2J 4B3,MB,Winnipeg,Diana Laxdal,,237-6253,1544030,,,Butiminex Consulting Ltd,FALSE,29 Terracon Place
Butler Centre for Well BeingManagement & Consultants,283 Bannatyne Ave,R3B 3B2,MB,Winnipeg,,,989-7676,9634247,,Butler Financial Group,,FALSE,283 Bannatyne Ave
Buttercup Beauty Bar,402 Academy Road,R3N 0B8,MB,Winnipeg,Mary Anne Power,,488-6920,,,,,FALSE,402 Academy Road
Butterfield Welding,NE3-22-16 RM of Ochre River near village of Laurier,R0J 1A0,MB,Laurier,John Butterfield,,204-835-2015,,,,,FALSE,NE3-22-16 RM of Ochre River near village of Laurier
Button Bay Blasting Company,,R0B 0E0,MB,Churchill,Michael Lawson,,675-2717,6058069,,,,FALSE,
Buus Construction Ltd,240 Young St,R1A 2B2,MB,Selkirk,Paul Buus,buus@mts.net,475-8782,0632729,,,,FALSE,240 Young St
Buy Rite Office Furnishings,334 McDermot Ave,R3A 0A5,MB,Winnipeg,Moe Selaam (CEO),sales@buyrite.mb.ca,204-942-7483,,,,4108761 Manitoba Ltd.,FALSE,334 McDermot Ave
BuyZing,755 Lake Bonnavista Drive SE,T2J 7L7,AB,Calgary,Janice Elliott,,(403) 215-7792,1365477,,,Computer Trrends Canada inc,FALSE,755 Lake Bonnavista Drive SE
BVT Truck & Trailer Repair,,,MB,,Nick Mazur (Branch Manager) or Ron Enns (GM),nick.mazur@slt.ca,204-346-9294,,,,,FALSE,
BWI Woodworking Ltd.,968 Redonda,R2C 2Z2,MB,Winnipeg,,,,,,,,FALSE,968 Redonda
BWP Construction and Project Management Inc,,R8A 1N4,MB,Flin Flon,Ben de JagerWerner de Jager,,306-688-3120c 271-4777,1634542,,,,FALSE,
B-Zee Digging,,R0L 2G0,MB,Winnipegosis,Bill Zdarski; Darlene Lynn Zdarski,,657-2330,,,,,FALSE,
C & B Sterling Enterprises Ltd,155 Main St,R0L 0Y0,MB,Grandview,Barry Sterling & Cameron Sterling; OwnersLarry Hyska,,204-546-2311,9991000,,,,FALSE,155 Main St
C & C Construction Company Ltd,2210 Park Ave,R7A 5Z8,MB,Brandon,Jordan Trotter - Exec VP - 204-720-6312,jordan@jandggroup.ca,728-2699,0350470,,J&G Group,,FALSE,2210 Park Ave
C & C Contracting Ltd.,,,MB,,,,,,,,,FALSE,
C & C Renovations,75 Baffin Cres,R8N 1H3,MB,Thompson,Craig Sommerfeld,,778.3524,,,,,FALSE,75 Baffin Cres
C & C Rentals Ltd,2210 Park Ave,R7A 5Z8,MB,Brandon,Jordan Trotter - Exec VP - 204-720-6312,jordan@jandggroup.ca,204-728-2699,0584185,,,,FALSE,2210 Park Ave
C & E Locksmith & Harware Ltd,St Suite 636-10Th,,MB,Brandon,Don Campbell,c&elocksmiths@westman.ca,204-725-0459,,,,,FALSE,St Suite 636-10Th
C & E Video,Box 460,R0A 1R0,MB,Ste Anne Des Chenes,,,,1107457,,,,FALSE,Box 460
C & G Construction,,,MB,,,,,,,,,FALSE,
C & G Stucco Wire,276 Devon Ave,R2G 0C5,MB,Winnipeg,Calvin Rempel,,471-2886,,,,,FALSE,276 Devon Ave
C & G Village Inn,2193 PTH #59,R0A 1E0,MB,Niverville,Gary and Claire De Pauw,,388-4283,1073543,,,,FALSE,2193 PTH #59
C & G Woodworking Ltd,1833 F Inkster Blvd Suite 15,R2X 1R3,MB,Winnipeg,,,,0899930,,,,FALSE,1833 F Inkster Blvd Suite 15
C & H Roofing,1014 12th St,R7A 4N6,MB,Brandon,Berry Rost; Nick Bulter,,204-726-3944,,,,,FALSE,1014 12th St
C & J Steel Erectors Inc,18 Country Lane,L4N 0E6,ON,Barrie,Jeremy Dahlberg,the_storage_experts@yahoo.ca,1-705-627-9207,,,,,FALSE,18 Country Lane
C & M Builders,123 Fraser Cres,R7A 2X2,MB,Brandon,Mike Dean,,204-726-8970,1322916,,,,FALSE,123 Fraser Cres
C & N Oilfield Maintenance,,,MB,,,,,,,,,FALSE,
C & R Sheetmetal Ltd.,,,MB,,,,,1370030,,,,FALSE,
C & S Country Gardens,,,MB,,,,,,,,,FALSE,
C & S Country Gardens,,,MB,,,,,,,,,FALSE,
C & S Country Gardens,,,MB,,,,,,,,,FALSE,
C & S Country Gardens,,,MB,,,,,,,,,FALSE,
C & S Equipment Ltd,450 Provencher Blvd,R2J 0B9,MB,Winnipeg,,,2042333342,0786780,,,,FALSE,450 Provencher Blvd
C & T Concrete,,,MB,,,,,,,,,FALSE,
C & T Rentals,115 Scurfield Blvd,R3Y 1G4,MB,Winnipeg,Georges Labossier (Branch Manager),,204-594-7368,1020791,,,,FALSE,115 Scurfield Blvd
C & T Reynolds,Suite NE 23 10 14 WR M of North Cypress,R0K 0H0,MB,Carberry,,,204-834-2176,1580521,,,,FALSE,Suite NE 23 10 14 WR M of North Cypress
C & W Oilfield Const & Rental Ltd,2370 Irvin Cres,S4A 2S6,SK,Estevan,,,634-5566,,,,,FALSE,2370 Irvin Cres
C & W Oilfield Construction & Rentals Ltd.,2370 Irvine Cres,S4A 2S6,SK,Estevan,Clayton Wheeler,,306-634-5566 cel; 204-421-3110,1248277,,,C & W Oilfield Construction & Rentals Ltd.,FALSE,2370 Irvine Cres
C B Custom Carpentry,,R0E 0K0,MB,Dugald,Caleb Brown,,471-3218,,,,,FALSE,
C B Custom Contracting,,,MB,,,,,2496776,,,,FALSE,
C C S Contracting Ltd,111 Ave Suite 16744,T5M 2S5,AB,Edmonton,,,,1322098,,,,FALSE,111 Ave Suite 16744
C D F Building Systems Ltd,,S0P 0B0,SK,Denare Beach,Richard Anaka,,306-362-2011,1442607,,CDF Building Systems Ltd,,FALSE,
C D L Excavting,685 Bell St,R0C 0P0,MB,Clandeboye,"Peter Jakebek, Owner",jakabek@mts.net,204-485-5750,,,,,FALSE,685 Bell St
C D Oil Well Servicing Ltd,,R0M 2C0,MB,Virden,Bert Cosens,,748-7072,1070200,,C D Oilwell Servicing Ltd,,FALSE,
C D Ray Hauling and Excavating,,,MB,,Ray Pasternak,semtrack@gmail.com,204.657.2404,,,,,FALSE,
C D S Electrical,,,MB,,,,,,,,,FALSE,
C F B Shilo - Federal Jurisdiction,General Delivery,R0K 2A0,MB,Shilo,,,,0773093,,,,FALSE,General Delivery
C G R Construction,27 Mockingbird Lane,R2J 3T7,MB,Winnipeg,Curtis Raap,cjrconstruction@shaw.ca,470.5897,,,,,FALSE,27 Mockingbird Lane
C G Shell,1737 Rosser Ave,R7A 0N2,MB,Brandon,,,,1112218,,,2900530 Manitoba Ltd,FALSE,1737 Rosser Ave
C Gamble Electric,1556 Erin St,R3E 2T1,MB,Winnipeg,,,,0886721,,,,FALSE,1556 Erin St
C Gamble Electric (1982) Ltd,1520 Wall St,R3E 2S4,MB,Winnipeg,Jim Gamble,,786-2456,0886721,,,,FALSE,1520 Wall St
C H Basement Contractors Ltd,31 Strongberg Drive,R2G 4E4,MB,Winnipeg,Cornie Wiebe,,661.3306; cell 981.5541,1037472,,,Cornelius Wiebe Incorporated,FALSE,31 Strongberg Drive
C I R Mechanical Installation Ltd,572 Provencher Blvd,R2J 3R1,MB,Winnipeg,,,204-237-5180,0741553,,,C.I.R. Mechanical Installation Ltd,FALSE,572 Provencher Blvd
C J Fiola Renovations Ltd,160 Enfield Cres,R2H 1A9,MB,Winnipeg,Claudia Diola,cjfiola@hotmail.com,233-6905 / 795-6719,,,,,FALSE,160 Enfield Cres
C J Lashek Electrical,Box 1551,R0E 0C0,MB,Beausejour,,,268-1889,,,,,FALSE,Box 1551
C J Mechanical,,,MB,,,,,1433002,,,Christopher & Carla Todd,FALSE,
C J Rentals & Contracting Ltd,727 Mission St,R2J 3Y3,MB,Winnipeg,,,2042330121,0941658,,,,FALSE,727 Mission St
C J Stucco Ltd,86 Vivian St,R2M 0E7,MB,Winnipeg,Clayton Laviolette,,223-2767,,,C J's Stucco Ltd,,FALSE,86 Vivian St
C L Construction,1373 Portage Ave Suite 22,R3G 0V8,MB,Winnipeg,"44 MINGLEHAZE DR.,REXDALE, ON",,4167412091,9209727,,,Leonard Copetti,FALSE,1373 Portage Ave Suite 22
C Laroche Hauling & Excavating Ltd,,R0A 1T0,MB,St Malo,,,,1267335,,C Laroche Hauling Ltd,,FALSE,
C M Richardson Contracting,328 7th St E,R9A 1K8,MB,The Pas,Chris Richardson,,623-3689Cell 623-0382,,,,,FALSE,328 7th St E
C M S Services Inc,525 10th St E,R7A 7J6,MB,Brandon,Cal Morrow,,725-8103,1261262,,,,FALSE,525 10th St E
C M S Services Inc,,,MB,,,,727-1666,,,,,FALSE,
C P & K Q Ventures Ltd,114 5th Ave N,R0L 1Z0,MB,Swan River,,,734-4643,,,,,FALSE,114 5th Ave N
C Rempel Stucco & Wire,507 Springfield Road,R2G 0B6,MB,Winnipeg,Calvin Rempel,,669-1057,,,,,FALSE,507 Springfield Road
C T Loewen Do-it Center,Stone Creek Plaza,R0A 2A0,MB,Steinbach,"Mark Hieber, Mgr of Plumbing & Heating Dept",,326-3481,0625442,,G F Loewen Enterprises Ltd,,FALSE,Stone Creek Plaza
C Turko Holdings,1059 Kingston Place Suite 207,R7A 2R1,MB,Brandon,Carol Quesnel,,573-4102,,,,,FALSE,1059 Kingston Place Suite 207
C U P E,275 Broadway Suite 703 703,R3C 4M6,MB,Winnipeg,,,,0550319,,"Canadian Union of Public Employees,CUPE",,FALSE,275 Broadway Suite 703 703
C Watt Roofing,4 Wankling Drive,R7B 3G5,MB,Brandon,Colin Watt,,204-726-0918,,,,,FALSE,4 Wankling Drive
C&G Construction,450 Broadway Ave Suite 203,R3C 0V8,MB,Winnipeg,Honourable Steve Ashton,minhwy@leg.gov.mb.ca,945-3723,,,,,FALSE,450 Broadway Ave Suite 203
C&P Concrete Construction,,,MB,,,,,,,,,FALSE,
C. A. Lamoureux Stucco & Accrylic,,,MB,,,,,,,,,FALSE,
C. Bergen Service Winnipegosis Ltd.,,,MB,,,,,,,,,FALSE,
C. Cicholski Roofing Plus,,,MB,,,,,,,,,FALSE,
C. J.'s Service,,,MB,,,,,,,,,FALSE,
C. J.'s Service,,,MB,,,,,,,,,FALSE,
C. J.'s Service,,,MB,,"Gladwin Doerksen, Owner",,204.348.7252,,,,,FALSE,
C. Rempel,,,MB,,,,,,,,,FALSE,
C. S. Home Construction,,,MB,,,,,,,,,FALSE,
C. T. Concrete,99 Kesler Road Suite 81,,MB,Winnipeg,Carlos Tavares,cmt0415@hotmail.com,894-4755,,,,,FALSE,99 Kesler Road Suite 81
C.A.P.S.,,,MB,,,,,,,,,FALSE,
C.A.T. Roofing,Box 3813,R5G 1P9,MB,Steinbach,Alex Tobert,,204-370-5105,,,Residential Roofing,,FALSE,Box 3813
C.B. Custom Carpentry,,,MB,,Caleb Brown,caleb@cbcustomcarpentry.com,204-471-3218,,,,,FALSE,
C.H. Basements,,,MB,,,,,,,,,FALSE,
C.H.C.P Elevators Ltd,1615 Regent Ave Suite 835,R2C 5C6,MB,Winkler,Peter Prymak,pprymak@chcp.ca,204-981-6638,,,,C.H.C.P Elevators Ltd,FALSE,1615 Regent Ave Suite 835
C.K. Machine Tool & Industrial Supply Inc.,160 Wyatt Road,R2X 2X6,MB,Winnipeg,Ryan Hanson,ryan.hanson@ckmachinetool.com,204-927-5659,,,,C.K. Machine Tool & Industrial Supply Inc.,FALSE,160 Wyatt Road
C.K.D Enterprises,,,MB,,Kim Richardson,,204.727.5434,,,,,FALSE,
C.S. Home Construction,31 Hudson Bay,R8N 1H8,MB,Thompson,Chris Stevens,c.s.homes@hotmail.com,204-679-0495,,,,,FALSE,31 Hudson Bay
C.S.A. Construction,SE 6 12 13,,MB,Austin,Steven Penner,,204-212-2970,,,,,FALSE,SE 6 12 13
C-10 Custom Stucco,,R0A 1T0,MB,St Malo,Ray Preteau,,(204) 746-3100,,,,,FALSE,
C2K Electric,1214 Henderson Hwy,R3T 0X6,MB,Winnipeg,,,,,,,,FALSE,1214 Henderson Hwy
CAA Manitoba,870 Empress St,R3C 2Z3,MB,Winnipeg,Jerry Kruk,,262-6108,0561548,,CAA Manitoba Motor League,,FALSE,870 Empress St
Cabela's Retail Canada Inc,766 Pandora Ave E,R2C 4S2,MB,Winnipeg,Amanda Nash (Safety Coordinator),amanda.nash@cabelas.ca,204-788-4867 Ext: 41428609,1527746,,Cabela's Retail Store,Cabela's Retail Canada Inc,FALSE,766 Pandora Ave E
Caber Construction & Renovations,,,MB,,Connor Ross (Owner),cabeross@shaw.ca,204-294-1233,1480193,,,,FALSE,
Cabernet Farms Ltd,,,MB,,Eric Carlson,,,1653971,,,,FALSE,
Cabernet Farms Ltd,,,MB,,,,,1480193,,,,FALSE,
Cabin Creek Construction,1185 College Ave,R2X 1B8,MB,Winnipeg,Rajah Manksasingh,,688-8246; 582-2846,,,,,FALSE,1185 College Ave
Cabinet Corner,410 DesMeurons St,R2H 2N9,MB,Winnipeg,Robert Allard,,204-237-6886,1170802,,Cabinet Clearance Centre,R & D Cabinet Clearance Corner Ltd,FALSE,410 DesMeurons St
Cadillac Fairview,1485 Portage Ave Suite 200 66Q,R3G 0W4,MB,Winnipeg,,,784-2501,0469635,,,,FALSE,1485 Portage Ave Suite 200 66Q
Cadorath,2070 Logan Ave,R2R 0J2,MB,Winnipeg,"Gerry O. Cadorath, Vice President",info@cadorath.com,632-0480,0359059,,Cadorath Plating Co Ltd,Cadorath Group,FALSE,2070 Logan Ave
CAE Vanguard Ltd,15 Bury St,R3E 2X7,MB,Winnipeg,,,,9910588,,,,FALSE,15 Bury St
Caerus Management and Professional Services Ltd,,R5H 1R2,MB,Ste Anne,Judy-Lynn Hiebert,,1-204-793-7210,1628775,,,,FALSE,
Caf̩ ce Soir,,,MB,,,,,,,,,FALSE,
Cafe Carlo,243 Lilac St,R3M 2S2,MB,Winnipeg,"Joel Boulett, Owner",,477-5544,,,,Ambrosia Foods,FALSE,243 Lilac St
Cafe Reykjavik,41 J Centre St S,R0B 1B0,MB,Gimli,Birgir Robertsson,,1-204-642-7598,1620251,,Reykjavik Bakery,,FALSE,41 J Centre St S
Cainesst Construction and Renovations.,177 Syndicate St Suite B,R2W 3H4,MB,Winnipeg,Carsen Khenhai,sales@ccrwpg.com,995-3969,,,,,FALSE,177 Syndicate St Suite B
Cain's Plumbing,General Delivery,R0G 2V0,MB,Treherne,,,723-2771,,,,,FALSE,General Delivery
Cairn Enterprises,590 Erin St,R3G 2V9,MB,Winnipeg,,,,0901256,,,H Neustaedter Decorating Ltd,FALSE,590 Erin St
Caisse Populaire,185 Provencher Blvd,R2H 0G4,MB,Winnipeg,Lorraine Farmer (VP HR),lFarmer@caisse.biz,204-237-8988,6055131,,,,FALSE,185 Provencher Blvd
Cake-ology,85 Arthur St,R3B 1H2,MB,Winnipeg,Pamela Kirkpatrick (owner),cakeologycakes@gmail.com,612-9866,,,,Pamela Kirkpatrick,FALSE,85 Arthur St
Cal McKay Construction,,,MB,,,,,,,,,FALSE,
Cal Tire,865 Henderson Hwy Suite 2,R2K 2L6,MB,Winnipeg,,,,0669846,,,,FALSE,865 Henderson Hwy Suite 2
Calabria Interiors Ltd,546 A Fairmont Road,R3R 1B2,MB,Winnipeg,,capri@mb.sympatico.ca,792-0707,1285683,,,,FALSE,546 A Fairmont Road
Calabria Market & Wine Store,,,MB,,,,,,,,,FALSE,
Calado Construction Ltd,66 St Paul Blvd,R2P 2W6,MB,West St Paul,Bruno Calado,,204-334-8689 (Office) or 204-334-4163 (Dispatch),1545193,,Cal Tex Construction Ltd or Cal-Tex Construction,Calado Construction Ltd,FALSE,66 St Paul Blvd
Calado Crane Rentals Ltd,,,MB,,Darrel Champagne (Manager),darrel@caladocranerentals.com,204-334-8689 (Office) or 204-334-7522 (Dispatch),1825462,,,Calado Crane Rentals Ltd,FALSE,
Calderside Dairy Farms Ltd,,,MB,,,,,,,,,FALSE,
Caldon Welding Inc.,115 Gunn Road,R2C 2Z2,MB,Winnipeg,Darcy Beech,,204-224-4817,1377227,,,,FALSE,115 Gunn Road
Caleb Construction Ltd,40 Dunkirk Drive,R2M 5R4,MB,Winnipeg,,,231-4682,,,,,FALSE,40 Dunkirk Drive
Caledonia Construction Ltd,1465 Saskatchewan Ave E,R1N 3B9,MB,Portage La Prairie,Sean Boak,seanboak@hotmail.com,204.857.5410,,,,,FALSE,1465 Saskatchewan Ave E
Calgary Tunnelling & Horizontal,3244 Boulton Road NW,T2L 1M3,AB,Calgary,,,289-4522,,,,,FALSE,3244 Boulton Road NW
Calian,340 Legget Drive,K2K 1Y6,ON,Ottawa,Stephane Laveault,,613-599-8800 ext 337,,,,,FALSE,340 Legget Drive
California Fruit Market Ltd.,879 Main St,R2W 3N9,MB,Winnipeg,Daniel Singh,,943-6034,0578385,,,,FALSE,879 Main St
California Nails,1372 McPhillips St,R2X 2M4,MB,Winnipeg,Hoa Trina,,694-5338,,,,,FALSE,1372 McPhillips St
Calimara,240 Mcphillips St,R3E 2K4,MB,Winnipeg,Petros Vasilopoulis,,774-6864,,,,,FALSE,240 Mcphillips St
Call Me Roofing Inc.,,,MB,,,,,,,,,FALSE,
Cal-law 1992 Ltd,783 Main St,R2W 3N5,MB,Winnipeg,GLEN KENNEDY\STEVE DERKSON,,,1116508,,,,FALSE,783 Main St
Callidus Construction Group,850 Cambridge St,,MB,,,,,,,,,FALSE,850 Cambridge St
Call-Inn's Hotel Ltd,,,MB,,,,,,,Wise-ers Bar and Restaurant,,FALSE,
Calloway Property Services,700 Applewood Cres Suite 200,L4K 5X3,MB,Vaughan,Kirti Caferri,kcaferri@smartcentres.com,(905)760-6226 ext. 7741,1607043,,,Calloway LP Management Inc,FALSE,700 Applewood Cres Suite 200
Calneta Construction,149 Arrowwood Drive N,R3V 2R2,MB,Winnipeg,Carlos Neta,dannyneta1@hotmail.com,339-0399,,,,Calneta Homes,FALSE,149 Arrowwood Drive N
Calnitsky Associates Architecture Interior Design,124 Nassau St N,R3L 2H1,MB,Winnipeg,Bob Martin,,453-6441,,,,,FALSE,124 Nassau St N
Cal's Cabs Ltd.,25 Saskatchewan Cres,R9A 1R8,MB,The Pas,Sherri Olson (part owner),olsonres@mymts.net,her home office 204-623-2676,0397331,,,Cal's Cabs Ltd.,FALSE,25 Saskatchewan Cres
Calvary Place Personal Care Home,1325 Erin St,R3E 3R6,MB,Winnipeg,Sonja Isaak,,943-4424,,,,,FALSE,1325 Erin St
Calverts Painting,Box 3347,R9A 1R9,MB,The Pas,,,,9991000,,,,FALSE,Box 3347
Calvin Christian School,245 Sutton Ave,R2G 0T1,MB,Winnipeg,Dave Taylor,calvin@mbnet.mb.ca,338-7981,,,,,FALSE,245 Sutton Ave
Calvin McKay Construction,,,MB,,,,,,,,,FALSE,
Calwest Textiles Inc,500 15TH St NW,R1N 3J9,MB,Portage La Pairie,BOB SCOTT/PATRICIA PERCHAK,,,1126028,,,,FALSE,500 15TH St NW
Cam Arrow Drilling Ltd,,,MB,,,,,,,,,FALSE,
Cam-Arrow 2019 Ltd,,,MB,,,,,,,,,FALSE,
Cam-Arrow Drilling,,R0A 0Y0,MB,Lorette,"Camile Henry, Owner",,878-2544,,,,,FALSE,
Camay Beauty Salon,333 Hargrave St,R3B 2J7,MB,Winnipeg,LEO MIKOS,,,9910110,,,,FALSE,333 Hargrave St
Cambrian Blasting Co Ltd,741 Coventry Road,R3R 1B8,MB,Winnipeg,Jeff Wood,,895-9594 Shop; 889-6001 Office; 981-5184 Cell and 888-8218 Home,0745968,,,,FALSE,741 Coventry Road
Cambrian Credit Union,225 Broadway Ave,R3C 5R4,MB,Winnipeg,David Lester,ccuinfo@cambrian.mb.ca,925-2620,6141121,,,,FALSE,225 Broadway Ave
Cambrian Equipment Sales Ltd,494 Panet Road,R2C 3B9,MB,Winnipeg,Mike Hrycenki,,667-2867,0573196,,,,FALSE,494 Panet Road
Cambrian Excavators Ltd.,33 Terracon Place,R2J 4B3,MB,Winnipeg,Norbert Hansch,,204-233-5224,0529925,,Elan Development Ltd,Elan Development Ltd,FALSE,33 Terracon Place
"Cambridge Health, Inc.",,,MB,,,,,,,,,FALSE,
Cambridge Hotel,1022 Pembina Hwy,R3T 1Z7,MB,Winnipeg,Anthony Gardener,,284-0183,075259202,,,,FALSE,1022 Pembina Hwy
Cambridge Residence Incorporated,,R8N 1M9,MB,Thompson,,,,0987610,,,,FALSE,
Camco Construction Ltd,,,MB,,Mark Schmidt,camcogc@gmail.com,204-509-8109,2445161,,,Camco Construction Ltd,FALSE,
Camco Electric,110 Lawson Cres,,MB,Winnipeg,Ida Draper,idad@thepritchardgroup.com,478-6024,1146356,,,,FALSE,110 Lawson Cres
Camco Electric,110 Lawson Cres,,MB,Winnipeg,Ida Draper,idad@thepritchardgroup.com,478-6024,1146356,,,,FALSE,110 Lawson Cres
CamCor Contracting,NE 12-6 W,R0G 1W0,MB,Rosenort,Cam Cornelsen,,746-8426,0994780,,,3144160 Manitoba Ltd,FALSE,NE 12-6 W
Camelot Yard Care Inc,176 Waverley St,R3M 3L2,MB,Winnipeg,Art McFarlane,,931-2865,1331636,,A McFarlane and Associate,,FALSE,176 Waverley St
Cameo Woodworks Ltd,851 Marion St,R2J 0K6,MB,Winnipeg,BRUNO KOEHN,,,1002187,,,,FALSE,851 Marion St
Cameron & Co. Contracting,,,MB,,,,,0948562,,,,FALSE,
Cameron Trucking & Excavating,Box 624,R0M 1L0,MB,Melita,,,522-3872,,,,,FALSE,Box 624
Camfill Farr,,,ON,Concord,,,,,,,,FALSE,
Camp Arnes,,R0C 0C6,MB,Arnes,,,204-642-7618,0624171,,,,FALSE,
Campanella Construction,658 Rossmore Ave,R2V 4S4,MB,West St Paul,,,586.6416 cell: 799.7948,,,,,FALSE,658 Rossmore Ave
Campbell Construction Inc.,NW13-36-26W,R0L 1G0,MB,Minitonas,Barry or Kim Campbell,kimcam@mymts.net,204-569-4848,1181205,,,,FALSE,NW13-36-26W
Campbell Furniture,319 Chambers St,R3W 1W7,MB,Winnipeg,Bert Campbell,,772-1943,0284216,,,M M Campbell Furniture Agencies Ltd,FALSE,319 Chambers St
Campbell Mobile Home Park,Box 11 RR 5,R7A 5Y5,MB,Brandon,,,728-9658,9910499,,,,FALSE,Box 11 RR 5
Campbell North Ltd,Box 1000,R8W 1N7,MB,Thompson,,,778-7001,,,,,FALSE,Box 1000
Campbell Scientific,,,MB,,,,,,,,,FALSE,
Campbell's Plumbing & Heating,1514 Rideau St,R7A 6Z5,MB,Brandon,Shirley George,sdgeorge@mts.net,728-5950,0887943,,,Lloyd Campbell Plumbing & Heating Ltd,FALSE,1514 Rideau St
Campbell's Plumbing & Heating Ltd.,Braecrest Drive Suite 735,,MB,Brandon,Jim Garlick,,204-728-5950,00887943,,,,FALSE,Braecrest Drive Suite 735
Camperville Community Council,#20 Hwy Suite 104,R0L 0J0,MB,Camperville,,,204-524-2212,0646166,,,,FALSE,#20 Hwy Suite 104
Camster Construction Ltd - Bloodvein Quarry,,R0C 2S0,MB,St Laurent,Sterling Ducharme,sterlingducharme38@hotmail.com,886.7202 or 646.2014,,,,Camster Construction Ltd,FALSE,
Camwest-Jos,2 Lindenwood Place,R3P 1M2,MB,Winnipeg,,,,,,,78710 MB Ltd,FALSE,2 Lindenwood Place
Can Am rv,,,MB,,,,,,,,,FALSE,
Can American Corrugating Co Ltd,,R0K 1R0,MB,Ninette,Robert Hofer,,683-2214,1129352,,,,FALSE,
Can DO People Inc.,,,MB,,Pascal Audette,,204.505.2243,,,,,FALSE,
"Can Pay, (Canadian Payroll Systems)",,,MB,,,,,,,,,FALSE,
Can Rock Masonry,4426 Grant Ave,R3R 0L3,MB,Winnipeg,Jason Oberlander,,204-957-7184,,,,,FALSE,4426 Grant Ave
Can Talk (Canada) Inc,70 Arthur St Suite 250,R3B 1G7,MB,Winnipeg,,,204-786-0147,,,,Can Talk (Canada) Inc,FALSE,70 Arthur St Suite 250
Can Talk (Canada) Inc.,,,MB,,,,,,,,,FALSE,
Can Tec Cleaning & Restoration,1335 Erin St Suite 103,R3E 2S7,MB,Winnipeg,Josh Humphries / Tony Firth,,784-4870,0375484,,,,FALSE,1335 Erin St Suite 103
Can Tec Design Drafting Services,167 Lombard Place Suite 170,R3B 0T6,MB,Winnipeg,FRANK SITAR,,2049437222,9910229,,,Can Tec Services Ltd,FALSE,167 Lombard Place Suite 170
Can West Automotive/ Sargent Motors,648 Sargent Ave,R3E 0A5,MB,Winnipeg,Dave Brar,,786-2886,,,,6586491MB Ltd.,FALSE,648 Sargent Ave
Canacoin Management Ltd,51 Bannister Road,R2R 0P2,MB,Winnipeg,,,,1235415,,,,FALSE,51 Bannister Road
